Date,Summary,Aim,Plate,Plate contents,Wash Number,Control Plate,Plate pouring,Plate spreading/making,Plate contents autoclaved,Bleach concentration percentage,Bleach notes,Treatment code.  ,Flies code (sex/strain). ,Number of flies,Replicate ID,Incubation time (hours),Incubation temp celsius,Date plate read,Short description of plate,% of plate covered in bacteria ,Colony morphology,Image link ,Researcher(s),Link to protocol and Benchling lab note entry
15/09/2025,Fly washed in bleach for 1 minute then PBS for 30s. PBS wash plated out,Test differential growth of bacteria across 3 consecutive PBS washes,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 6-14% calculation assumed upper concentration valid. Stock of unknown age and likely to be less concentrated than stated,15_09_25_1_1,starch_male_6d,1,1,24,37,16/09/2025,"One small blodge of growth. 
As well as sharp white colonies, blodged together. ",20,Single colonies/lawn ,IMG_5710.jpg,Katie Millar,15.09.2025_SS_labnotes
15/09/2025,Fly washed in bleach for 1 minute then PBS for 30s. PBS wash plated out,Test differential growth of bacteria across 3 consecutive PBS washes,LB,PBS wash,2,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 6-14% calculation assumed upper concentration valid. Stock of unknown age and likely to be less concentrated than stated,15_09_25_1_2,starch_male_6d,1,1,24,37,16/09/2025,"A very large blodge of 
growth in the center.  Lots of colonies blodged together. ",25,Single colonies/lawn ,IMG_5711.jpg,Katie Millar,15.09.2025_SS_labnotes
15/09/2025,Fly washed in bleach for 1 minute then PBS for 30s. PBS wash plated out,Test differential growth of bacteria across 3 consecutive PBS washes,LB,PBS wash,3,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 6-14% calculation assumed upper concentration valid. Stock of unknown age and likely to be less concentrated than stated,15_09_25_1_3,starch_male_6d,1,1,24,37,16/09/2025,"Maybe some lines of growth, hard to tell.",10,N/A,IMG_5712.jpg,Katie Millar,15.09.2025_SS_labnotes
15/09/2025,Fly washed in bleach for 1 minute then PBS for 30s. PBS wash plated out,Test differential growth of bacteria across 3 consecutive PBS washes,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 6-14% calculation assumed upper concentration valid. Stock of unknown age and likely to be less concentrated than stated,15_09_25_2_1,starch_female_6d,4,1,24,37,16/09/2025,No growth. ,0,N/A,IMG_5705.jpg,Katie Millar,15.09.2025_SS_labnotes
15/09/2025,Fly washed in bleach for 1 minute then PBS for 30s. PBS wash plated out,Test differential growth of bacteria across 3 consecutive PBS washes,LB,PBS wash,2,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 6-14% calculation assumed upper concentration valid. Stock of unknown age and likely to be less concentrated than stated,15_09_25_2_2,starch_female_6d,4,1,24,37,16/09/2025,No growth. ,0,N/A,IMG_5706.png,Katie Millar,15.09.2025_SS_labnotes
15/09/2025,Fly washed in bleach for 1 minute then PBS for 30s. PBS wash plated out,Test differential growth of bacteria across 3 consecutive PBS washes,LB,PBS wash,3,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 6-14% calculation assumed upper concentration valid. Stock of unknown age and likely to be less concentrated than stated,15_09_25_2_3,starch_female_6d,4,1,24,37,16/09/2025,Large splodge of growth.  Lots of small growth slodges surrounding this.  Some streaks. ,20,Lawn colonies. ,IMG_5707.png,Katie Millar,15.09.2025_SS_labnotes
15/09/2025,"Sterile PBS only plated, no flies introduced at any time.",Tests that the sterile PBS used for rinsing does not contain bactria.,LB,PBS control,N/A,Yes,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,,15_09_25_3_1,N/A,N/A,1,24,37,16/09/2025,No growth. ,0,N/A,IMG_5709.png,Katie Millar,15.09.2025_SS_labnotes
15/09/2025,Fly submerged in PBS for 30s. PBS wash plated out,Tests if a plate will pick up dirty PBS,LB,PBS wash,1,Yes,Lab bench next to bunsen,Lab bench next to bunsen,No.,0.8,Stock bleach was 6-14% calculation assumed upper concentration valid. Stock of unknown age and likely to be less concentrated than stated,15_09_25_3_2,starch_male_6d,1,1,24,37,16/09/2025,No growth. ,0,N/A, IMG_5708.png,Katie Millar,15.09.2025_SS_labnotes
18/09/2025,Fly washed in bleach for 1 minute then PBS for 30s. PBS wash plated out,Test differential growth of bacteria in PBS before and after bleach.  Specifically tests the effiency of old bleach.  Replicates are two drops of the same wash.,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 6-14% calculation assumed upper concentration valid. Stock of unknown age and likely to be less concentrated than stated,18_09_25_1_1,asg_female_10d,4,1,24,37,19/09/2025,Large splodge of growth in the centre. Leaks out to the side. ,50,Lawn colonies. ,IMG_5713.png,Katie Millar,18_09_2025_SS_labnotes
18/09/2025,Fly washed in bleach for 1 minute then PBS for 30s. PBS wash plated out,Test differential growth of bacteria in PBS before and after bleach.  Specifically tests the effiency of old bleach.  Replicates are two drops of the same wash.,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 6-14% calculation assumed upper concentration valid. Stock of unknown age and likely to be less concentrated than stated,18_09_25_1_2,asg_female_10d,4,2,24,37,19/09/2025,No growth. ,0,N/A,IMG_5714.png,Katie Millar,18_09_2025_SS_labnotes
18/09/2025,Fly washed in bleach for 1 minute then PBS for 30s. PBS wash plated out,Test differential growth of bacteria in PBS before and after bleach.  Specifically tests the effiency of new bleach.  ,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 1 day old. ,18_09_25_2_1,asg_male_10d,4,1,24,37,19/09/2025,No growth. ,0,N/A,IMG_5715.png,Katie Millar,18_09_2025_SS_labnotes
18/09/2025,Fly washed in bleach for 1 minute then PBS for 30s. PBS wash plated out,Test differential growth of bacteria in PBS before and after bleach.  Specifically tests the effiency of new bleach.  ,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 1 day old. ,18_09_25_2_2,asg_male_10d,4,1,24,37,19/09/2025,No growth. ,0,N/A,IMG_5716.png,Katie Millar,18_09_2025_SS_labnotes
18/09/2025,"Unwashed fly submerged in PBS for 30s, PBS wash plated.",Tests if a plate will pick up dirty PBS,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,No.,0.8,,18_09_25_3_1,N/A,N/A,1,24,37,19/09/2025,No growth. ,0,N/A,,Katie Millar,18_09_2025_SS_labnotes
18/09/2025,"Unwashed fly submerged in PBS for 30s, PBS wash plated.",Tests if a plate will pick up dirty PBS,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,No.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 1 day old. ,18_09_25_3_2,N/A,N/A,1,24,37,19/09/2025,No growth. ,0,N/A,,Katie Millar,18_09_2025_SS_labnotes
18/09/2025,"Sterile PBS only plated, no flies introduced at any time.",Tests if a plate will pick up dirty PBS,LB,PBS wash,N/A,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 1 day old. ,18_09_25_4_1,N/A,N/A,1,24,37,19/09/2025,No growth. ,0,N/A,IMG_5717.png,Katie Millar,18_09_2025_SS_labnotes
18/09/2025,"Sterile PBS only plated, no flies introduced at any time.",Tests if a plate will pick up dirty PBS,LB,PBS wash,N/A,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 1 day old. ,18_09_25_4_2,N/A,N/A,1,24,37,19/09/2025,No growth. ,0,N/A,IMG_5718.png,Katie Millar,18_09_2025_SS_labnotes
18/09/2025,Dirty fly spread directly over plate. ,"Tests if LB plate specifically picks up bacteria, directly from fly contact.",LB,Fly reminiscence. ,N/A,No,Lab bench next to bunsen,Lab bench next to bunsen,No.,0.8,,18_09_25_4_2,N/A,N/A,1,24,37,19/09/2025,Bacteria almost completely covering the plate. ,80,,IMG_5719.png,Katie Millar,18_09_2025_SS_labnotes
23/09/2025,"Fly washed in bleach for 1 minute then PBS for 30s, then another PBS rinse. PBS is then plated out.","Tests if bleach causes surface sterilisation, and if they are still sterile by the 2nd PBS rinse.",LB,PBS wash,2,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 5 days old. ,23_09_25_1_1,N/A,N/A,1,24,37,24/09/2025,"Medium sized colonies over the plate, and long stripes..",50,"Large circles, filamentous",IMG_5728.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,"Fly washed in bleach for 1 minute then PBS for 30s, then another PBS rinse. PBS is then plated out.","Tests if bleach causes surface sterilisation, and if they are still sterile by the 2nd PBS rinse.",LB,PBS wash,2,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 5 days old. ,23_09_25_1_2,N/A,N/A,2,24,37,24/09/2025,"Medium sized colonies over the plate, and long streaky stripes..",60,"Large circles, filamentous",IMG_5729.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,"Unwashed fly submerged in PBS for 30s, PBS wash plated.",Tests if PBS will pick up bacteria from the fly. ,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,No.,0.8,,23_09_25_2_1,asg_male_2d,N/A,1,24,37,24/09/2025,One or two very small colonies,3,Tiny colonies,IMG_5730.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,"Unwashed fly submerged in PBS for 30s, PBS wash plated.",Tests if PBS will pick up bacteria from the fly. ,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,No.,0.8,,23_09_25_2_2,asg_male_2d,N/A,2,24,37,24/09/2025,No growth. ,0,N/A,IMG_5731.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,Bleached fly put into PBS for 30 seconds. ,Tests if bleach kills bacteria on the surface of the fly. ,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 5 days old. ,23_09_25_2_3,asg_male_2d,N/A,1,24,37,24/09/2025,No growth. ,0,N/A,IMG_5732.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,Bleached fly put into PBS for 30 seconds. ,Tests if bleach kills bacteria on the surface of the fly. ,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 5 days old. ,18_09_25_2_4,asg_male_2d,N/A,2,24,37,24/09/2025,No growth. ,0,N/A,IMG_5733.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,"Unwashed fly submerged in PBS for 1 minute, PBS wash plated.",Tests if PBS will pick up bacteria from the fly. ,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,No.,0.8,,23_09_25_3_1,asg_male_2d,N/A,1,24,37,24/09/2025,Large splodge of growth.,10,Circular growth,IMG_5734.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,"Unwashed fly submerged in PBS for 1 minute, PBS wash plated.",Tests if PBS will pick up bacteria from the fly. ,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,No.,0.8,,23_09_25_3_2,asg_male_2d,N/A,2,24,37,24/09/2025,Colonies moprhed together to greate a little shape,8,,IMG_5735.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,"Washed fly submerged in PBS for 1 minute, PBS wash plated.",Tests if bleach kills bacteria on the surface of the fly. ,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 5 days old. ,23_09_25_3_3,asg_male_2d,N/A,1,24,37,24/09/2025,Tiny one colony growth,< 1,Small and circular,IMG_5736.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,"Washed fly submerged in PBS for 1 minute, PBS wash plated.",Tests if bleach kills bacteria on the surface of the fly. ,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 5 days old. ,18_09_25_3_4,asg_male_2d,N/A,2,24,37,24/09/2025,,,,,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,Bleach fly spread directly onto plate.,Tests if LB plate specifically picks up bacteria,LB,Direct fly contact,N/A,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,,,23_09_25_3_3,asg_male_2d,1,1,24,37,24/09/2025,Many splodges of growth with coloies combined together.,30,Thick rhizoid shapes.,IMG_5737.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,Bleach fly spread directly onto plate.,Tests if LB plate specifically picks up bacteria,LB,Direct fly contact,N/A,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,,,23_09_25_3_4,asg_female_2d,1,2,24,37,24/09/2025,Many splodges of growth with coloies combined together.,35,Thick rhizoid shapes.,IMG_5738.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,Dirty fly spread directly onto plate.,Tests if LB plate specifically picks up bacteria,LB,Direct fly contact,N/A,No,Lab bench next to bunsen,Lab bench next to bunsen,No.,,,23_09_25_4_1,asg_male_2d,1,1,24,37,24/09/2025,"Large colonies together, splodged. ",25,Large circles. ,IMG_5739.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,Dirty fly spread directly onto plate.,Tests if LB plate specifically picks up bacteria,LB,Direct fly contact,N/A,No,Lab bench next to bunsen,Lab bench next to bunsen,No.,,,23_09_25_4_2,asg_female_2d,1,2,24,37,24/09/2025,"Large colonies together, splodged. ",25,Large circles. ,IMG_5740.png,Katie Millar,23_09_2025_SS_labnnotes
26/09/2025,"Unwashed fly submerged in PBS for 30 seconds, PBS wash plated.",Tests if LB plate specifically picks up bacteria from PBS. ,LB,PBS wash,1,Yes,Lab bench next to bunsen,Lab bench next to bunsen,No.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 5 days old. ,26_09_25_1_2,asg_female_,3,1,,,27/09/2025,Lots ad lots of tiny colonies,50,Tiny colonies,IMG_5764.png,Katie Millar,
26/09/2025,"Unwashed fly submerged in PBS for 30 seconds, PBS wash plated.",Tests if LB plate specifically picks up bacteria from PBS. ,LB,PBS wash,1,Yes,Lab bench next to bunsen,Lab bench next to bunsen,No.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 5 days old. ,26_09_25_1_2,asg_female_,3,2,,,27/09/2025,"Large splodges of growth, colonies joined together. Some small colonies.",25,Large splodges of joined together colonies.,IMG_5765.png,Katie Millar,
26/09/2025,Fly washed in bleach for 1 minute then PBS for 30s. PBS wash plated out,"Tests bacterial growth from one bleach, and one PBS rinse. ",LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 5 days old. ,26_09_25_2_1,asg_female_,3,1,,,27/09/2025,"One large splodge of joined together colonies, some lighter shadow joined together colonies.",10,Large splodges of joined together colonies.,IMG_5768.png,Katie Millar,
26/09/2025,Fly washed in bleach for 1 minute then PBS for 30s. PBS wash plated out,"Tests bacterial growth from one bleach, and one PBS rinse. ",LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 5 days old. ,26_09_25_2_1,asg_female_,3,2,,,27/09/2025,One small colony,< 1,Small colony,IMG_5769.png,Katie Millar,
26/09/2025,Just sterile PBS on a plate. No flies. ,,LB,PBS wash,,,,,Yes.,,,,,,,,,27/09/2025,One small colony,< 1,Small colony,IMG_5771.png,Katie Millar,
26/09/2025,Just sterile PBS on a plate. No flies. ,,LB,PBS wash,,,,,Yes.,,,,,,,,,27/09/2025,"Large splodges of growth, colonies joined together. Some small colonies.",8,Large splodgs of joined together colonies.,IMG_5770.png,Katie Millar,
26/09/2025,A plain LB plate with nothing on,,LB,None. ,,,,,Yes.,,,,,,,,,27/09/2025,A few small colonies,1,Small colony,IMG_5772.png,Katie Millar,
26/09/2025,A plain LB plate with nothing on,,LB,None. ,,,,,Yes.,,,,,,2,,,27/09/2025,No growth. ,0,N/A,IMG_5773.png,Katie Millar,
16/10/2025,"An LB plate, with nothing added. ",To test if the LB plates used for the sterility tests are sterile. ,LB,None. ,N/A,Yes,Under flow hood.,Lab bench next to bunsen. ,Yes.,N/A,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_1_1,,N/A,1,24,37,17/10/2025,No growth. ,0,,IMG_5741.png,"Katie Millar, 
Emily Fowler",
16/10/2025,"An LB plate, with nothing added. ",To test if the LB plates used for the sterility tests are sterile. ,LB,None. ,N/A,Yes,Under flow hood.,Lab bench next to bunsen. ,Yes.,N/A,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_1_2,,N/A,2,24,37,17/10/2025,No growth. ,0,,IMG_5742.png,"Katie Millar, 
Emily Fowler",
16/10/2025,"An LB plate, with nothing added. ",To test if the LB plates used for the sterility tests are sterile. ,LB,None. ,N/A,Yes,Under flow hood.,Lab bench next to bunsen. ,Yes.,N/A,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_1_3,,N/A,3,24,37,17/10/2025,No growth. ,0,,IMG_5743.png,"Katie Millar, 
Emily Fowler",
16/10/2025,Bleach solution (no flies added) plated on an LB plate.,"To test the bleach is sterile, as the solution is made. ",LB,Bleach ,N/A,Yes,Under flow hood.,Lab bench next to bunsen. ,Yes.,0.8,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_2_1,,N/A,1,24,37,17/10/2025,No growth. ,0,,IMG_5744.png,"Katie Millar, 
Emily Fowler",
